,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
288,Presidencia Roque Sáenz Peña,-26.79,-60.44,73.47,47,0,10.2,AR,1596595943
289,Kimbe,-5.55,150.14,89.24,61,14,0.81,PG,1596595395
290,Barcelos,41.54,-8.62,68.0,87,0,4.7,PT,1596595944
291,Impfondo,1.64,18.07,70.05,95,100,0.6,CG,1596595944
292,Rocha,-34.48,-54.33,58.32,86,70,7.27,UY,1596595552
293,Burnie,-41.07,145.92,51.01,45,0,15.01,AU,1596595659
294,Mil'kovo,54.72,158.62,68.97,53,1,1.68,RU,1596595945
295,Onega,63.91,38.14,59.38,91,94,7.52,RU,1596595945
296,Bubaque,11.28,-15.83,79.65,83,97,21.72,GW,1596595443
297,Gander,48.97,-54.59,50.0,93,90,20.8,CA,1596595946
298,Tilichiki,60.47,166.1,62.04,55,94,11.12,RU,1596595946
299,Rio Grande,-32.03,-52.1,57.0,96,0,11.43,BR,1596595478
300,Horqueta,-23.34,-57.06,69.55,41,0,6.53,PY,1596595946
301,Auki,-8.77,160.7,84.99,75,42,4.83,SB,1596595452
302,Pimenta Bueno,-11.67,-61.19,74.62,47,4,2.15,BR,1596595947
303,Klaksvík,62.23,-6.59,51.8,100,100,8.05,FO,1596595379
304,Malbork,54.04,19.03,54.0,100,0,4.21,PL,1596595947
305,Kahului,20.89,-156.47,87.8,48,40,24.16,US,1596595383
306,Umluj,25.02,37.27,83.08,57,0,11.65,SA,1596595451
307,Dunedin,-45.87,170.5,48.99,80,84,8.99,NZ,1596595371
308,Ayr,55.46,-4.63,59.0,93,75,9.17,GB,1596595465
309,Yuba City,39.14,-121.62,91.4,27,1,10.29,US,1596595777
310,Aklavik,68.22,-135.01,55.4,76,90,9.17,CA,1596595482
311,Namwala,-15.75,26.44,50.47,89,0,1.61,ZM,1596595949
312,Shakawe,-18.37,21.85,49.75,47,0,2.73,BW,1596595399
313,Lorengau,-2.02,147.27,84.47,77,22,13.6,PG,1596595455
314,Kushmurun,52.45,64.63,73.54,60,66,13.35,KZ,1596595950
315,Micoud,13.82,-60.9,82.4,69,20,18.34,LC,1596595950
316,Domoni,-12.26,44.53,73.18,79,18,10.16,KM,1596595951
317,Port-Gentil,-0.72,8.78,75.79,74,100,8.05,GA,1596595447
318,Maracaçumé,-2.04,-45.96,73.49,91,41,2.75,BR,1596595951
319,Barra de Tecoanapa,16.52,-98.75,80.28,86,100,9.1,MX,1596595951
320,San Martín,-33.08,-68.47,55.4,62,0,3.36,AR,1596595952
321,Mto wa Mbu,-3.35,35.85,62.94,78,51,2.33,TZ,1596595952
322,Saint-Ambroise,48.55,-71.33,64.99,93,90,11.41,CA,1596595393
323,Grand-Santi,4.25,-54.38,74.1,87,54,2.86,GF,1596595952
324,Tuatapere,-46.13,167.68,51.01,81,65,3.0,NZ,1596595390
325,Atkinson,42.84,-71.15,75.99,69,1,18.34,US,1596595954
326,Bushehr,28.97,50.84,93.2,49,0,9.17,IR,1596595954
327,São Filipe,14.9,-24.5,75.97,80,61,5.3,CV,1596595478
328,Ji’an,27.12,114.98,91.78,57,97,8.55,CN,1596595567
329,Condega,13.37,-86.4,73.09,88,100,3.51,NI,1596595955
330,Kaniama,-7.57,24.18,62.24,35,1,3.27,CD,1596595570
331,Mutoko,-17.4,32.23,51.42,75,0,3.62,ZW,1596595955
332,Kampong Chhnang,12.17,104.55,83.28,74,99,2.06,KH,1596595955
333,Tura,25.52,90.22,84.29,85,97,3.98,IN,1596595446
334,Ketchikan,55.34,-131.65,57.2,100,90,17.22,US,1596595956
335,Vilyuysk,63.76,121.62,75.22,46,100,3.29,RU,1596595956
336,Igarka,67.47,86.58,67.64,63,27,6.22,RU,1596595956
337,Sarai Naurang,32.83,70.78,98.51,33,0,10.09,PK,1596595956
338,Carthage,36.86,10.33,75.2,47,20,10.29,TN,1596595957
339,Caloundra,-26.8,153.13,78.01,49,2,4.0,AU,1596595957
340,Mahābaleshwar,17.92,73.67,63.64,100,100,8.52,IN,1596595957
341,Cockburn Town,21.46,-71.14,82.96,85,11,19.6,TC,1596595958
342,Philadelphia,39.95,-75.16,79.0,74,40,10.29,US,1596595326
343,Sirte,31.21,16.59,81.7,42,0,7.58,LY,1596595958
344,Pangnirtung,66.15,-65.71,50.29,85,100,3.89,CA,1596595442
345,Kędzierzyn-Koźle,50.35,18.23,57.99,98,100,8.01,PL,1596595959
346,Guerrero Negro,27.98,-114.06,70.52,81,0,14.0,MX,1596595466
